File;Plugin;Bytes;OS;Compiler
generated.yaml;yamlcpp;555048080;linux;clang6.0.1
generated_500.yaml;yamlcpp;32635388;linux;clang6.0.1
generated_0.yaml;yamlcpp;6115521;linux;clang6.0.1
combined.yaml;yamlcpp;12928208;linux;clang6.0.1
generated_1.yaml;yamlcpp;6192515;linux;clang6.0.1
generated_5000.yaml;yamlcpp;277314403;linux;clang6.0.1
generated_50000.yaml;yamlcpp;2758023299;linux;clang6.0.1
keyframes.yaml;yamlcpp;18289470;linux;clang6.0.1
generated_100.yaml;yamlcpp;11574727;linux;clang6.0.1
generated_10.yaml;yamlcpp;6528958;linux;clang6.0.1
generated_100000.yaml;yamlcpp;5552805394;linux;clang6.0.1
generated_50.yaml;yamlcpp;8207651;linux;clang6.0.1
generated_5.yaml;yamlcpp;6313648;linux;clang6.0.1
generated_10000.yaml;yamlcpp;551031592;linux;clang6.0.1
generated_1000.yaml;yamlcpp;60960633;linux;clang6.0.1
generated.yaml;yanlr;480925620;linux;clang6.0.1
generated_500.yaml;yanlr;32382211;linux;clang6.0.1
generated_0.yaml;yanlr;11025898;linux;clang6.0.1
combined.yaml;yanlr;17414576;linux;clang6.0.1
generated_1.yaml;yanlr;11178042;linux;clang6.0.1
generated_5000.yaml;yanlr;246153139;linux;clang6.0.1
generated_50000.yaml;yanlr;2302800059;linux;clang6.0.1
keyframes.yaml;yanlr;23776675;linux;clang6.0.1
generated_100.yaml;yanlr;15583155;linux;clang6.0.1
generated_10.yaml;yanlr;11499089;linux;clang6.0.1
generated_100000.yaml;yanlr;4610496017;linux;clang6.0.1
generated_50.yaml;yanlr;13470020;linux;clang6.0.1
generated_5.yaml;yanlr;11331772;linux;clang6.0.1
generated_10000.yaml;yanlr;477428812;linux;clang6.0.1
generated_1000.yaml;yanlr;55633969;linux;clang6.0.1
generated.yaml;yambi;190300160;linux;clang6.0.1
generated_500.yaml;yambi;13455155;linux;clang6.0.1
generated_0.yaml;yambi;5119426;linux;clang6.0.1
combined.yaml;yambi;7550719;linux;clang6.0.1
generated_1.yaml;yambi;5119172;linux;clang6.0.1
generated_5000.yaml;yambi;94040768;linux;clang6.0.1
generated_50000.yaml;yambi;970432973;linux;clang6.0.1
keyframes.yaml;yambi;10108829;linux;clang6.0.1
generated_100.yaml;yambi;6749579;linux;clang6.0.1
generated_10.yaml;yambi;5239972;linux;clang6.0.1
generated_100000.yaml;yambi;1993234968;linux;clang6.0.1
generated_50.yaml;yambi;5971625;linux;clang6.0.1
generated_5.yaml;yambi;5152403;linux;clang6.0.1
generated_10000.yaml;yambi;189219446;linux;clang6.0.1
generated_1000.yaml;yambi;23027995;linux;clang6.0.1
generated.yaml;yawn;156465071;linux;clang6.0.1
generated_500.yaml;yawn;13465641;linux;clang6.0.1
generated_0.yaml;yawn;5728435;linux;clang6.0.1
combined.yaml;yawn;7778234;linux;clang6.0.1
generated_1.yaml;yawn;5761856;linux;clang6.0.1
generated_5000.yaml;yawn;81351164;linux;clang6.0.1
generated_50000.yaml;yawn;758992904;linux;clang6.0.1
keyframes.yaml;yawn;8810880;linux;clang6.0.1
generated_100.yaml;yawn;7425361;linux;clang6.0.1
generated_10.yaml;yawn;5929541;linux;clang6.0.1
generated_100000.yaml;yawn;1513335089;linux;clang6.0.1
generated_50.yaml;yawn;6604780;linux;clang6.0.1
generated_5.yaml;yawn;5848882;linux;clang6.0.1
generated_10000.yaml;yawn;156457701;linux;clang6.0.1
generated_1000.yaml;yawn;21144275;linux;clang6.0.1
generated.yaml;yaypeg;684153244;linux;clang6.0.1
generated_500.yaml;yaypeg;36676266;linux;clang6.0.1
generated_0.yaml;yaypeg;5025488;linux;clang6.0.1
combined.yaml;yaypeg;14768728;linux;clang6.0.1
generated_1.yaml;yaypeg;5041803;linux;clang6.0.1
generated_5000.yaml;yaypeg;340779190;linux;clang6.0.1
generated_50000.yaml;yaypeg;3424238873;linux;clang6.0.1
keyframes.yaml;yaypeg;23062489;linux;clang6.0.1
generated_100.yaml;yaypeg;7395449;linux;clang6.0.1
generated_10.yaml;yaypeg;5282986;linux;clang6.0.1
generated_100000.yaml;yaypeg;6874189934;linux;clang6.0.1
generated_50.yaml;yaypeg;6471078;linux;clang6.0.1
generated_5.yaml;yaypeg;5120768;linux;clang6.0.1
generated_10000.yaml;yaypeg;677782572;linux;clang6.0.1
generated_1000.yaml;yaypeg;72034484;linux;clang6.0.1
