File;Plugin;Bytes;OS;Compiler
generated.yaml;yamlcpp;9835384;linux;gcc8.3.0
generated_500.yaml;yamlcpp;591096;linux;gcc8.3.0
generated_0.yaml;yamlcpp;107296;linux;gcc8.3.0
combined.yaml;yamlcpp;244888;linux;gcc8.3.0
generated_1.yaml;yamlcpp;117648;linux;gcc8.3.0
generated_5000.yaml;yamlcpp;4961576;linux;gcc8.3.0
generated_50000.yaml;yamlcpp;48583296;linux;gcc8.3.0
keyframes.yaml;yamlcpp;406136;linux;gcc8.3.0
generated_100.yaml;yamlcpp;220144;linux;gcc8.3.0
generated_10.yaml;yamlcpp;124504;linux;gcc8.3.0
generated_100000.yaml;yamlcpp;96885944;linux;gcc8.3.0
generated_50.yaml;yamlcpp;159976;linux;gcc8.3.0
generated_5.yaml;yamlcpp;121336;linux;gcc8.3.0
generated_10000.yaml;yamlcpp;9823688;linux;gcc8.3.0
generated_1000.yaml;yamlcpp;1083848;linux;gcc8.3.0
generated.yaml;yanlr;24490704;linux;gcc8.3.0
generated_500.yaml;yanlr;1370840;linux;gcc8.3.0
generated_0.yaml;yanlr;158528;linux;gcc8.3.0
combined.yaml;yanlr;430608;linux;gcc8.3.0
generated_1.yaml;yanlr;160728;linux;gcc8.3.0
generated_5000.yaml;yanlr;12357440;linux;gcc8.3.0
generated_50000.yaml;yanlr;119843224;linux;gcc8.3.0
keyframes.yaml;yanlr;747336;linux;gcc8.3.0
generated_100.yaml;yanlr;415752;linux;gcc8.3.0
generated_10.yaml;yanlr;180192;linux;gcc8.3.0
generated_100000.yaml;yanlr;239594800;linux;gcc8.3.0
generated_50.yaml;yanlr;277880;linux;gcc8.3.0
generated_5.yaml;yanlr;167808;linux;gcc8.3.0
generated_10000.yaml;yanlr;24485080;linux;gcc8.3.0
generated_1000.yaml;yanlr;2589136;linux;gcc8.3.0
generated.yaml;yambi;10450632;linux;gcc8.3.0
generated_500.yaml;yambi;631296;linux;gcc8.3.0
generated_0.yaml;yambi;120408;linux;gcc8.3.0
combined.yaml;yambi;208048;linux;gcc8.3.0
generated_1.yaml;yambi;120256;linux;gcc8.3.0
generated_5000.yaml;yambi;5287240;linux;gcc8.3.0
generated_50000.yaml;yambi;52071664;linux;gcc8.3.0
keyframes.yaml;yambi;295016;linux;gcc8.3.0
generated_100.yaml;yambi;235672;linux;gcc8.3.0
generated_10.yaml;yambi;130624;linux;gcc8.3.0
generated_100000.yaml;yambi;104157416;linux;gcc8.3.0
generated_50.yaml;yambi;171736;linux;gcc8.3.0
generated_5.yaml;yambi;124832;linux;gcc8.3.0
generated_10000.yaml;yambi;10484368;linux;gcc8.3.0
generated_1000.yaml;yambi;1155208;linux;gcc8.3.0
generated.yaml;yawn;20914216;linux;gcc8.3.0
generated_500.yaml;yawn;1982088;linux;gcc8.3.0
generated_0.yaml;yawn;972896;linux;gcc8.3.0
combined.yaml;yawn;1232056;linux;gcc8.3.0
generated_1.yaml;yawn;977472;linux;gcc8.3.0
generated_5000.yaml;yawn;10865064;linux;gcc8.3.0
generated_50000.yaml;yawn;101474344;linux;gcc8.3.0
keyframes.yaml;yawn;1428688;linux;gcc8.3.0
generated_100.yaml;yawn;1200592;linux;gcc8.3.0
generated_10.yaml;yawn;999296;linux;gcc8.3.0
generated_100000.yaml;yawn;198933288;linux;gcc8.3.0
generated_50.yaml;yawn;1089640;linux;gcc8.3.0
generated_5.yaml;yawn;989464;linux;gcc8.3.0
generated_10000.yaml;yawn;21014712;linux;gcc8.3.0
generated_1000.yaml;yawn;2948224;linux;gcc8.3.0
generated.yaml;yaypeg;8559296;linux;gcc8.3.0
generated_500.yaml;yaypeg;515328;linux;gcc8.3.0
generated_0.yaml;yaypeg;94192;linux;gcc8.3.0
combined.yaml;yaypeg;218624;linux;gcc8.3.0
generated_1.yaml;yaypeg;96728;linux;gcc8.3.0
generated_5000.yaml;yaypeg;4308368;linux;gcc8.3.0
generated_50000.yaml;yaypeg;42462136;linux;gcc8.3.0
keyframes.yaml;yaypeg;363016;linux;gcc8.3.0
generated_100.yaml;yaypeg;190856;linux;gcc8.3.0
generated_10.yaml;yaypeg;110608;linux;gcc8.3.0
generated_100000.yaml;yaypeg;84310080;linux;gcc8.3.0
generated_50.yaml;yaypeg;147464;linux;gcc8.3.0
generated_5.yaml;yaypeg;103472;linux;gcc8.3.0
generated_10000.yaml;yaypeg;8511080;linux;gcc8.3.0
generated_1000.yaml;yaypeg;939968;linux;gcc8.3.0
