ErrorType,InjectionType,Key,Old Value,New Value,Error Message,SpecMessage,SpecCaught,SpecPlugin,Log Message,Reaction App,Reaction Spec,Pinpoint Spec,Vocab Spec,Pinpoint App,Vocab App,Personify App,LeakInt App,Comment
Typo Error,inject/typo/deletion,system/lyrebird/serialPOS/Size,16x2,16x,serialPOS: cannot read Size: 16x; using default 16x2,"Key value failed to validate. Reason: Not a valid size declaration. Examples: 20x4, 19x3, 40x150",X,validation,serialPOS: cannot read Size: 16x; using default 16x2,GOOD,GOOD,PARTLY,GOOD,PARTLY,GOOD,BAD,GOOD,
Typo Error,inject/typo/deletion,system/lyrebird/lirc/prog,lcdd,lcd,lirc: Could not connect to lircd,,,,"lirc: Could not connect to lircd
Driver [lirc] init failed, return code -1
Could not load driver lirc
There is no output driver
Critical error while initializing, abort.",NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,config is checked before connect (does not check lircrc)
Typo Error,inject/typo/space,system/lyrebird/imonlcd/Device,/tmp/fakeDriver,'     /tmp/fakeDriver  ',imonlcd: ERROR opening      /tmp/fakeDriver   (No such file or directory).,Given path '     /tmp/fakeDriver  ' is not absolute,X,path,"imonlcd: ERROR opening      /tmp/fakeDriver   (No such file or directory).
imonlcd: Did you load the iMON kernel module?
Driver [imonlcd] init failed, return code -1
Could not load driver imonlcd
There is no output driver
Critical error while initializing, abort.",GOOD,GOOD,PARTLY,GOOD,PARTLY,GOOD,BAD,GOOD,
Structure Error,inject/structure/section/remove,system/lyrebird/CFontzPacket/Brightness,system/lyrebird/CFontzPacket/Brightness,null,,,,type,,DEFAULT,DEFAULT,DEFAULT,DEFAULT,DEFAULT,DEFAULT,DEFAULT,DEFAULT,
Limit Error,inject/limit/max,system/lyrebird/NoritakeVFD/OffBrightness,50,1000,,,,,,DEFAULT,DEFAULT,DEFAULT,DEFAULT,DEFAULT,DEFAULT,DEFAULT,DEFAULT,
Structure Error,inject/structure/section/reallocate,system/lyrebird/server/NextScreenKey,system/lyrebird/server/NextScreenKey,system/lyrebird/glcdlib,Error opening terminal: unknown.,,,type,Error opening terminal: unknown.,DEFAULT,DEFAULT,DEFAULT,DEFAULT,DEFAULT,DEFAULT,DEFAULT,DEFAULT,
Structure Error,inject/structure/section/reallocate,system/lyrebird/SureElec/OffBrightness,system/lyrebird/SureElec/OffBrightness,system/lyrebird/bayrad,SureElec: failed to configure port (Inappropriate ioctl for device),,,range,"SureElec: failed to configure port (Inappropriate ioctl for device)
Driver [SureElec] init failed, return code -1
Could not load driver SureElec
There is no output driver
Critical error while initializing, abort.",DEFAULT,DEFAULT,DEFAULT,DEFAULT,DEFAULT,DEFAULT,DEFAULT,DEFAULT,
Typo Error,inject/typo/case/toggle,system/lyrebird/hd44780/Keypad,no,nO,,,,,,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,No reaction of spec? Yes
Structure Error,inject/structure/section/remove,system/lyrebird/serialVFD/Device,system/lyrebird/serialVFD/Device,null,serialVFD: The number of Custom-Characters must be between 0 and 99. Using default,,,path,"serialVFD: The number of Custom-Characters must be between 0 and 99. Using default
serialVFD_init_serial: open() of /dev/lcd failed (No such file or directory)
serialVFD: unable to initialize io-port
Driver [serialVFD] init failed, return code -1
Could not load driver serialVFD
There is no output driver
Critical error while initializing, abort.",DEFAULT,DEFAULT,DEFAULT,DEFAULT,DEFAULT,DEFAULT,DEFAULT,DEFAULT,"Reaction ok, takes default"
Structure Error,inject/structure/section/duplicate,system/lyrebird/SureElec/Brightness,system/lyrebird/SureElec/Brightness,system/lyrebird/CFontzPacket,SureElec: failed to configure port (Inappropriate ioctl for device),,,range,"SureElec: failed to configure port (Inappropriate ioctl for device)
Driver [SureElec] init failed, return code -1
Could not load driver SureElec
There is no output driver
Critical error while initializing, abort.",DEFAULT,DEFAULT,DEFAULT,DEFAULT,DEFAULT,DEFAULT,DEFAULT,DEFAULT,NO-BUG! (self written parser bug)
