flossprojectsname,count
0ad,4
active-orient,1
adélie-linux,1
aiocoap,1
aloe,1
altium2kicad,1
ampache,1
andcpp,1
arandr,1
arch-linux,2
askrhk,1
augeas,1
avrprog2,1
awesome-wm,3
bdsync-manager,1
bif,1
bitcoin-core,1
bitcoin-ruby,1
bitflu,1
blam,1
bmon,1
bookbrainz,1
boost,1
botbot,1
brewtarget,1
britney,1
bumblebee,1
c-ares,1
cacao-jvm,2
cantus-project,1
catalyst,1
centos,1
cga-backup,1
charybdis,2
chromium,1
ckeditor,1
claws-mail,1
clippy,1
closure-compiler,1
composer,1
config::model,1
consolekit2 ,1
coreboot,1
cpan-modules,3
cppcms,1
cryptonas,1
curl,1
cyrus-imapd,1
darktable,1
debian,28
devel-hdb,1
devhelp,1
devparrot,1
dfw,1
discord-rs,1
django-guardian,1
docker-transmission-openvpn,1
domjudge,1
driverslicer,1
dva-profession,1
elektra,4
END,1
esteemed-innovation,1
evol-online,1
ezmlm-web,1
fedora,6
fetchmail,1
"ff7tk,blackchocobo",1
ffmpeg,1
ffv1,1
firefox,6
flex-grid-framework,1
flit,1
frama-c,1
free-translation-project,1
freebsd,1
freecad,1
fruitydo,1
fs-workspace,1
fuse-backup,1
gapt,2
gcc,2
gclog,1
geckopackages,1
genome-modeling-system,1
gentoo-linux,2
gerrit,1
ghuls,1
gimp,1
git,2
git-annex,1
glibc,2
glowstone,1
gnome,9
grical.org,1
grinder,2
gstreamer-plugin,1
gtodo,1
haskell,1
hIve,1
httpfs,1
i3,1
ib-ruby,1
ibus-cangjie,1
ikiwiki,2
imanee,1
inkscape,1
invrs,1
irkernel,1
ironleg,1
irssi,1
isync,1
j4-dmenu-desktop,1
jed-editor-scripts,1
jstodotxt,1
"jupyter,ipython",1
k9-mail,1
kde,9
koha,2
kphotoalbum,1
kq-fork,1
labplot,1
lain,1
libravatar,1
libreoffice,2
libssh2,1
limesurvey,1
lincity-ng,1
linpha,1
linux,7
lives,1
llvm,1
lodash,1
machinekit,1
mailinabox,1
makoureactor,1
mate-accessiblity,1
maui-os,1
mdanalysis,1
mediawiki,3
metabrainz,1
mixxx,1
modernizr,1
moneytree,1
monorail-enhancer,1
mozilla,4
munin,1
music21,1
mutt,1
ncmpcpp,1
ncoda,1
nets,1
nikola,2
nixitch,1
nixpkgs,1
nomacs,1
nrd,1
nuvola-player,1
obnam,1
oneye,1
openbio,1
openconext,1
opennebula,1
openoffice,1
openscad,1
opensound-system,1
openstack,1
openstreetmap,2
opsview,1
orange,1
ordinal,1
oredict,1
otrs,1
ownnote,1
pain,2
paws,1
pdfautonup,2
performous,1
perl-modules,5
perl5,1
perl6,1
personal-project,5
php,1
php-modules,1
pike,1
pkgbuilder,2
planetfilter,1
ponysay,1
"postgresql,pg_logical,bdr",1
"pounce,glorircd",1
proftpd,1
propellor,1
publik,1
publist,1
puppet,1
pwmt,1
pycam,1
pygame,1
pygobject,1
pyirc,2
pynsist,1
python,1
python-modules,1
qantenna,1
qpsmtpd,1
qt,4
reactbundle,1
redobackup,1
redshift,1
redux-undo,2
retroarch,1
rng-tools,1
rock-linux,1
rockbox,1
rose-compiler,1
roundcube-carddav,1
rust,1
safe-rm,1
saltstack,1
satire,1
sbase,1
sc-controller,1
scorep,1
scripts,2
sddm,1
sdl-perl,1
security,1
serde,1
sigrok,1
simplesamlphp,1
skadi,1
slingshot,2
slrn,1
smuxi,1
sncli,1
snowplow,1
snsrv,1
spacefm,1
srcx,1
status.modern.ie,1
subtitleeditor,1
sugar-labs,1
supergameherm,2
supertux,1
sympa,1
systemd,1
taglib,1
taskwarrior,1
textmate,1
the-mana-world,1
tianbar,1
tilesheets,1
tinygettext,1
tlapm,1
torque3d,1
trigger-rally,1
trojita,1
twigjs,1
typo3-neos,1
ubase,1
ubuntu,1
udiskie,1
umap,1
unknown-horizons,1
upass,2
ur-object-system,1
v8,1
various-projects,7
vicious,1
vim,1
vis-framework,1
vulcand,1
wesnoth,1
widefield,1
widelands,1
wine,1
würstelstand,1
wxwidgets,1
xbmc-vod,1
xfce,4
xmobar,1
xorg,2
zephyrsoft-song-database,1
